iter	MultiClass
0	0.9456038665
1	0.8286527202
2	0.7379694618
3	0.6629860596
4	0.6015700554
5	0.5499251504
6	0.5062239362
7	0.4685747196
8	0.4345834762
9	0.4051856304
10	0.3804281493
11	0.3584743264
12	0.3393953483
13	0.3214728728
14	0.3057243752
15	0.2921262465
16	0.2801932884
17	0.2689190795
18	0.259278149
19	0.2503721922
20	0.2424304174
21	0.2352527824
22	0.2285753818
23	0.2228084989
24	0.2176685816
25	0.2130495288
26	0.2088471915
27	0.2049318351
28	0.2015380573
29	0.1984680274
30	0.1954849728
31	0.1934873705
32	0.1908930341
33	0.1886448386
34	0.1866540826
35	0.1847523488
36	0.1830271494
37	0.1818291769
38	0.1808240543
39	0.1795359429
40	0.1783020203
41	0.177230823
42	0.1762715853
43	0.175380597
44	0.1745175966
45	0.1736607053
46	0.1729668764
47	0.1722536351
48	0.1716466693
49	0.1710441811
50	0.1704289286
51	0.1699891212
52	0.169680575
53	0.169235006
54	0.1688586944
55	0.1684482678
56	0.1681009425
57	0.1677836015
58	0.1674784035
59	0.1671919856
60	0.1669211689
61	0.1666857557
62	0.1664687394
63	0.1662836644
64	0.166081645
65	0.165921381
66	0.1656936448
67	0.1655176071
68	0.1653666734
69	0.1652039643
70	0.1650185207
71	0.1649186225
72	0.1647794764
73	0.1646533458
74	0.16452305
75	0.1643843266
76	0.1642314547
77	0.1641715584
78	0.1640000995
79	0.1638893288
80	0.1637907694
81	0.1636806106
82	0.1635803933
83	0.1634496973
84	0.1633490525
85	0.1632699896
86	0.1631778931
87	0.163075892
88	0.1629952373
89	0.1629272673
90	0.1628058473
91	0.1627380441
92	0.1625504104
93	0.1624501377
94	0.1623585574
95	0.1622952859
96	0.1621677667
97	0.1620620194
98	0.1619931462
99	0.1618436801
100	0.1617488066
101	0.1616736916
102	0.1615772901
103	0.1614985276
104	0.1614176329
105	0.1613348166
106	0.1612925695
107	0.1612107523
108	0.161123153
109	0.1610238462
110	0.1609337071
111	0.1608756924
112	0.1607710629
113	0.1606897634
114	0.1606070433
115	0.1605017322
116	0.1604366622
117	0.1603682045
118	0.1602954271
119	0.1602100082
120	0.1601252112
121	0.160080013
122	0.1599749047
123	0.1599185055
124	0.1597829038
125	0.1596817194
126	0.1596048163
127	0.1595594512
128	0.1595239226
129	0.1594010982
130	0.1593292956
131	0.1592719173
132	0.1592182641
133	0.1591537287
134	0.1590301623
135	0.1589836891
136	0.1589095241
137	0.1588352707
138	0.1587615779
139	0.1587115914
140	0.1586793885
141	0.1586091357
142	0.1585643043
143	0.1584920465
144	0.158443871
145	0.1584066951
146	0.1583497245
147	0.1582810144
148	0.1582425399
149	0.1581908483
150	0.1581481016
151	0.158084364
152	0.1580398419
153	0.1579908407
154	0.1578820431
155	0.1578171136
156	0.1577211974
157	0.1576845864
158	0.1576614755
159	0.1576117778
160	0.1575586012
161	0.1574977579
162	0.1574287172
163	0.1573886573
164	0.1573252695
165	0.1572563738
166	0.1571927513
167	0.1571436974
168	0.1570851277
169	0.157000733
170	0.1569369694
171	0.1568846268
172	0.1568118941
173	0.1567553361
174	0.1566993919
175	0.1566796431
176	0.1566258516
177	0.156586806
178	0.1565122544
179	0.1564903933
180	0.1564482501
181	0.1563881066
182	0.1563698877
183	0.1563201548
184	0.1562807285
185	0.156246293
186	0.1561709054
187	0.1561313281
188	0.1560315006
189	0.1559583867
190	0.1558956003
191	0.1558690001
192	0.1557972139
193	0.1557559619
194	0.1556958826
195	0.1556799909
196	0.1556100639
197	0.1555376608
198	0.1555076724
199	0.1554748869
200	0.1554385515
201	0.1553519096
202	0.1553176886
203	0.1552434465
204	0.1551893634
205	0.1551649587
206	0.1550875107
207	0.1550469906
208	0.15500493
209	0.15495645
210	0.1549159057
211	0.1548589498
212	0.154794617
213	0.1547565704
214	0.1547396164
215	0.1547190597
216	0.1546585935
217	0.1546126773
218	0.154556089
219	0.1545170927
220	0.1544886792
221	0.1544438927
222	0.1543545038
223	0.1543194708
224	0.1542594855
225	0.1542501372
226	0.154192222
227	0.1541301229
228	0.154049389
229	0.1540163086
230	0.1539641592
231	0.1539415861
232	0.1538778955
233	0.1538681769
234	0.1538270408
235	0.1537949054
236	0.1537192997
237	0.1536825243
238	0.1536571301
239	0.1536120436
240	0.153568529
241	0.1534999559
242	0.1534796805
243	0.1534298889
244	0.1534123396
245	0.1533796165
246	0.1533435117
247	0.1533142141
248	0.1532697699
249	0.1532072136
250	0.1531703179
251	0.1530897836
252	0.1530790075
253	0.1530400174
254	0.1529862785
255	0.1529725071
256	0.1529344954
257	0.1528504703
258	0.1528040224
259	0.1527737819
260	0.1527179704
261	0.1526646013
262	0.1526385622
263	0.1526047712
264	0.1525612765
265	0.1525382223
266	0.1525214989
267	0.1524352058
268	0.152408162
269	0.1523918341
270	0.1523155052
271	0.1522885656
272	0.1522536008
273	0.1522149417
274	0.1521994727
275	0.1521892259
276	0.1521408147
277	0.1521209779
278	0.1520805261
279	0.152013539
280	0.1519273734
281	0.1519164938
282	0.1518594353
283	0.1518330742
284	0.1518139923
285	0.151747339
286	0.1516950418
287	0.1516767353
288	0.1516398552
289	0.1515836869
290	0.1515411404
291	0.1514996467
292	0.1514798816
293	0.1514462239
294	0.1513781225
295	0.1513628507
296	0.1513436984
297	0.1512875858
298	0.1512422476
299	0.1511754993
300	0.1511213562
301	0.1510969328
302	0.1510917493
303	0.1510420824
304	0.1509956805
305	0.1509627202
306	0.1508902421
307	0.1508454942
308	0.1508221778
309	0.1508035071
310	0.1507680573
311	0.1507076386
312	0.1506546856
313	0.150603412
314	0.1505730078
315	0.1505228663
316	0.1504980414
317	0.1504568885
318	0.1504047184
319	0.1503855139
320	0.1503356505
321	0.1503172977
322	0.1502731928
323	0.1502550724
324	0.1502276866
325	0.1502025726
326	0.150151009
327	0.1501228049
328	0.1501034194
329	0.1500790167
330	0.1500576316
331	0.1500208288
332	0.1499571066
333	0.1499278764
334	0.1498747199
335	0.1498246049
336	0.1497950196
337	0.149775598
338	0.1497507161
339	0.1497215889
340	0.1496701391
341	0.149643885
342	0.1496041559
343	0.1495399922
344	0.1495082927
345	0.1494666752
346	0.1494377584
347	0.149395077
348	0.1493677434
349	0.1493425461
350	0.1492826161
351	0.1492332724
352	0.1491681728
353	0.1490990399
354	0.1490759275
355	0.149036289
356	0.1489928989
357	0.148978196
358	0.1489560833
359	0.148939303
360	0.148887132
361	0.1488636307
362	0.1488298366
363	0.1487575505
364	0.1487129767
365	0.1486591705
366	0.1486483798
367	0.1486334998
368	0.1485970535
369	0.1485730738
370	0.1485341969
371	0.1484890999
372	0.1484534499
373	0.1484044833
374	0.1483758673
375	0.1483611323
376	0.1483275059
377	0.1482874719
378	0.1482397505
379	0.1481789831
380	0.1481628048
381	0.1481448633
382	0.1481039762
383	0.1480623285
384	0.1480277939
385	0.1480089871
386	0.1479769915
387	0.1479553365
388	0.1479412881
389	0.1478961413
390	0.1478868566
391	0.1478462321
392	0.1478068133
393	0.1477803571
394	0.1477395475
395	0.1476884901
396	0.1476279339
397	0.1475690592
398	0.1475491922
399	0.1475190041
400	0.1475021927
401	0.1474804402
402	0.1474129348
403	0.1473561174
404	0.1473152643
405	0.1472732854
406	0.1472037277
407	0.147170118
408	0.1471131276
409	0.1470891269
410	0.1470439099
411	0.1470221763
412	0.1469959495
413	0.1469685766
414	0.1469512335
415	0.1469071314
416	0.1468737683
417	0.1468342959
418	0.146788604
419	0.1467572029
420	0.1467073553
421	0.1466649209
422	0.1465882595
423	0.1465579504
424	0.1465371049
425	0.1465220275
426	0.1464915708
427	0.1464419628
428	0.1463998946
429	0.1463653362
430	0.1463409587
431	0.1462996709
432	0.1462788345
433	0.1462113043
434	0.1461608948
435	0.1461050955
436	0.1460712041
437	0.1460523544
438	0.1460122097
439	0.1459954685
440	0.1459430526
441	0.1459264776
442	0.1458925486
443	0.1458731448
444	0.1458444233
445	0.1458153502
446	0.1457758793
447	0.1457460293
448	0.1457186802
449	0.1456777645
450	0.1456110151
451	0.1455651646
452	0.1455219533
453	0.1454947349
454	0.1454230161
455	0.1454048615
456	0.1453645251
457	0.1453174406
458	0.1452976776
459	0.1452797909
460	0.1452270591
461	0.1451788339
462	0.1451381134
463	0.1450968806
464	0.1450277363
465	0.1449725148
466	0.1449536727
467	0.1449313424
468	0.1448937668
469	0.1448735787
470	0.1448150561
471	0.1447742356
472	0.1447169923
473	0.1446921163
474	0.1446476672
475	0.144635956
476	0.1446077664
477	0.1445665567
478	0.1445146407
479	0.14447456
480	0.1444414008
481	0.1444002963
482	0.1443735299
483	0.14435019
484	0.1443251038
485	0.1443037688
486	0.1442745808
487	0.1442534032
488	0.1442244193
489	0.144203557
490	0.1441606673
491	0.1441147108
492	0.1440746898
493	0.1440550076
494	0.1440220885
495	0.1439933575
496	0.1439547513
497	0.143914858
498	0.1438974134
499	0.1438722248
