iter	Passed	Remaining
0	64	32015
1	72	18083
2	80	13291
3	88	11009
4	97	9605
5	104	8617
6	112	7917
7	119	7329
8	126	6893
9	134	6575
10	141	6283
11	150	6104
12	157	5917
13	166	5767
14	173	5612
15	188	5689
16	195	5563
17	203	5456
18	210	5339
19	218	5233
20	225	5145
21	233	5074
22	241	5006
23	249	4946
24	257	4884
25	264	4822
26	271	4756
27	279	4709
28	287	4662
29	295	4627
30	302	4573
31	309	4525
32	316	4485
33	324	4452
34	332	4417
35	339	4374
36	347	4347
37	354	4312
38	361	4273
39	368	4238
40	379	4248
41	388	4239
42	397	4228
43	407	4226
44	418	4231
45	443	4372
46	454	4380
47	470	4426
48	481	4429
49	492	4431
50	503	4429
51	511	4403
52	518	4369
53	525	4343
54	533	4313
55	543	4309
56	551	4287
57	560	4273
58	569	4255
59	577	4234
60	584	4209
61	597	4219
62	608	4220
63	618	4212
64	625	4187
65	635	4181
66	643	4159
67	651	4136
68	658	4111
69	666	4092
70	678	4098
71	686	4078
72	693	4059
73	701	4036
74	708	4016
75	716	3995
76	724	3978
77	732	3964
78	739	3943
79	747	3925
80	755	3909
81	762	3887
82	770	3870
83	777	3850
84	784	3831
85	791	3812
86	798	3792
87	805	3772
88	813	3755
89	820	3736
90	827	3718
91	835	3704
92	843	3692
93	852	3682
94	860	3667
95	867	3650
96	875	3636
97	882	3621
98	890	3605
99	897	3588
100	904	3572
101	910	3554
102	924	3562
103	931	3546
104	938	3529
105	945	3514
106	952	3499
107	959	3484
108	967	3470
109	974	3453
110	982	3444
111	990	3430
112	997	3417
113	1005	3404
114	1013	3394
115	1021	3382
116	1029	3370
117	1036	3355
118	1043	3339
119	1049	3324
120	1056	3308
121	1063	3294
122	1070	3279
123	1077	3266
124	1083	3250
125	1090	3238
126	1098	3225
127	1104	3211
128	1111	3197
129	1119	3185
130	1125	3171
131	1133	3158
132	1140	3146
133	1147	3132
134	1153	3119
135	1168	3128
136	1175	3114
137	1181	3100
138	1188	3087
139	1196	3075
140	1203	3063
141	1209	3050
142	1216	3037
143	1224	3026
144	1231	3015
145	1238	3002
146	1244	2989
147	1251	2977
148	1259	2965
149	1265	2953
150	1272	2941
151	1279	2929
152	1286	2918
153	1293	2906
154	1300	2894
155	1307	2883
156	1314	2872
157	1321	2861
158	1328	2849
159	1335	2837
160	1341	2825
161	1348	2813
162	1356	2804
163	1364	2794
164	1371	2784
165	1378	2773
166	1385	2763
167	1392	2752
168	1400	2743
169	1414	2745
170	1421	2735
171	1428	2724
172	1436	2714
173	1444	2705
174	1451	2695
175	1459	2686
176	1467	2677
177	1474	2667
178	1482	2658
179	1490	2649
180	1497	2639
181	1505	2630
182	1512	2620
183	1520	2611
184	1528	2602
185	1536	2593
186	1543	2584
187	1552	2575
188	1559	2566
189	1567	2557
190	1575	2548
191	1583	2540
192	1592	2532
193	1599	2523
194	1607	2513
195	1614	2504
196	1621	2494
197	1629	2485
198	1636	2475
199	1644	2466
200	1655	2462
201	1662	2453
202	1670	2444
203	1677	2434
204	1684	2424
205	1691	2414
206	1698	2404
207	1706	2395
208	1712	2384
209	1719	2374
210	1725	2363
211	1733	2354
212	1740	2345
213	1748	2336
214	1754	2325
215	1761	2316
216	1769	2307
217	1775	2297
218	1783	2288
219	1790	2279
220	1797	2269
221	1805	2261
222	1812	2251
223	1820	2242
224	1828	2234
225	1835	2225
226	1842	2216
227	1850	2207
228	1857	2197
229	1864	2188
230	1870	2178
231	1877	2168
232	1883	2158
233	1890	2148
234	1902	2145
235	1909	2136
236	1916	2126
237	1922	2116
238	1929	2107
239	1936	2097
240	1942	2087
241	1949	2078
242	1956	2068
243	1962	2059
244	1969	2049
245	1975	2039
246	1981	2029
247	1988	2020
248	1995	2011
249	2001	2001
250	2008	1992
251	2014	1982
252	2021	1973
253	2028	1964
254	2035	1955
255	2041	1946
256	2048	1936
257	2054	1927
258	2061	1918
259	2067	1908
260	2073	1898
261	2080	1889
262	2086	1880
263	2093	1871
264	2099	1862
265	2106	1852
266	2112	1843
267	2118	1834
268	2125	1825
269	2132	1816
270	2138	1807
271	2154	1805
272	2160	1796
273	2166	1787
274	2173	1778
275	2179	1769
276	2186	1760
277	2193	1751
278	2199	1742
279	2206	1733
280	2213	1725
281	2219	1715
282	2225	1706
283	2232	1697
284	2239	1689
285	2246	1680
286	2252	1671
287	2259	1662
288	2265	1654
289	2272	1645
290	2279	1636
291	2286	1628
292	2292	1619
293	2299	1611
294	2306	1602
295	2312	1593
296	2319	1585
297	2325	1576
298	2332	1567
299	2338	1559
300	2345	1550
301	2351	1541
302	2357	1532
303	2363	1524
304	2370	1515
305	2377	1507
306	2384	1498
307	2394	1492
308	2401	1484
309	2407	1475
310	2414	1467
311	2421	1458
312	2427	1450
313	2434	1442
314	2440	1433
315	2447	1425
316	2454	1416
317	2460	1408
318	2467	1399
319	2473	1391
320	2480	1383
321	2487	1375
322	2494	1366
323	2501	1358
324	2507	1350
325	2513	1341
326	2520	1333
327	2526	1325
328	2533	1316
329	2539	1308
330	2546	1300
331	2552	1291
332	2559	1283
333	2566	1275
334	2572	1266
335	2579	1258
336	2585	1250
337	2592	1242
338	2599	1234
339	2605	1226
340	2612	1218
341	2619	1209
342	2625	1201
343	2636	1195
344	2643	1187
345	2649	1179
346	2656	1171
347	2662	1163
348	2669	1155
349	2675	1146
350	2682	1138
351	2689	1130
352	2696	1122
353	2702	1114
354	2709	1106
355	2715	1098
356	2722	1090
357	2729	1082
358	2736	1074
359	2743	1066
360	2750	1058
361	2756	1050
362	2763	1043
363	2770	1035
364	2778	1027
365	2785	1019
